Event: solarUpdate at time 0 with data 0.0
Event: carExpectedStopCharging at time 27609.0 with data Car ID: 24, chargingVolume: 6, connectionTime: 26657 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 24009
Event: carStopsCharging at time 27609.0 with data Car ID: 24, chargingVolume: 6, connectionTime: 26657 parkingPlace: 2, amountCharged: 6.0, carParksVisited: ['2'], arrivalTime: 24009
Event: carArrives at time 27712 with data Car ID: 38, chargingVolume: 35, connectionTime: 70715 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 27712
Event: carArrives at time 27722 with data Car ID: 39, chargingVolume: 4, connectionTime: 8776 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 27722
Event: carBeginsCharging at time 27722 with data Car ID: 39, chargingVolume: 4, connectionTime: 8776 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 27722
Event: carArrives at time 27898 with data Car ID: 40, chargingVolume: 77, connectionTime: 74724 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 27898
Event: carArrives at time 28255 with data Car ID: 41, chargingVolume: 16, connectionTime: 33644 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 28255
Event: carBeginsCharging at time 28255 with data Car ID: 41, chargingVolume: 16, connectionTime: 33644 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 28255
Event: solarUpdate at time 28800 with data 65.0917162758407
Event: carArrives at time 28857 with data Car ID: 42, chargingVolume: 8, connectionTime: 38415 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 28857
Event: carBeginsCharging at time 28857 with data Car ID: 42, chargingVolume: 8, connectionTime: 38415 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 28857
Event: carExpectedStopCharging at time 28858.999999999996 with data Car ID: 0, chargingVolume: 48, connectionTime: 47005 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 59
Event: carStopsCharging at time 28858.999999999996 with data Car ID: 0, chargingVolume: 48, connectionTime: 47005 parkingPlace: 3, amountCharged: 48.0, carParksVisited: ['3'], arrivalTime: 59
Event: carArrives at time 28918 with data Car ID: 43, chargingVolume: 2, connectionTime: 36700 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 28918
Event: carBeginsCharging at time 28918 with data Car ID: 43, chargingVolume: 2, connectionTime: 36700 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 28918
Event: carArrives at time 28961 with data Car ID: 44, chargingVolume: 7, connectionTime: 26638 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 28961
Event: carBeginsCharging at time 28961 with data Car ID: 44, chargingVolume: 7, connectionTime: 26638 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 28961
Event: carArrives at time 29003 with data Car ID: 45, chargingVolume: 9, connectionTime: 136944 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 29003
Event: carExpectedStopCharging at time 29005.0 with data Car ID: 26, chargingVolume: 6, connectionTime: 64057 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 25405
Event: carStopsCharging at time 29005.0 with data Car ID: 26, chargingVolume: 6, connectionTime: 64057 parkingPlace: 4, amountCharged: 6.0, carParksVisited: ['4'], arrivalTime: 25405
Event: carArrives at time 29014 with data Car ID: 46, chargingVolume: 5, connectionTime: 36604 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 29014
Event: carBeginsCharging at time 29014 with data Car ID: 46, chargingVolume: 5, connectionTime: 36604 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 29014
Event: carArrives at time 29155 with data Car ID: 47, chargingVolume: 6, connectionTime: 41283 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 29155
